,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Thursday, November 16, 2023", Nicholls St., South Alabama,40,28,102,97
0,"Thursday, November 16, 2023", Texas Tech, Texas A&M Corpus Chris,41,31,73,64
0,"Thursday, November 16, 2023", Tulsa, Jackson St.,32,23,72,52
0,"Thursday, November 16, 2023", Missouri, Minnesota,38,32,70,68
0,"Thursday, November 16, 2023", Nebraska Omaha, William & Mary,35,40,89,83
0,"Thursday, November 16, 2023", New Mexico, UT Arlington,48,36,82,80
0,"Thursday, November 16, 2023", Auburn, Notre Dame,33,39,83,59
0,"Thursday, November 16, 2023", Utah, Wake Forest,41,31,77,70
0,"Thursday, November 16, 2023", North Dakota St., Montana,33,40,78,69
0,"Thursday, November 16, 2023", Montana St., California,27,33,63,60
0,"Thursday, November 16, 2023", Boston University, Bryant,47,37,95,79
0,"Thursday, November 16, 2023", Louisiana Tech, Louisiana Monroe,23,28,73,63
0,"Thursday, November 16, 2023", UAB, Alcorn St.,41,42,80,77
0,"Thursday, November 16, 2023", UCF, Cal St. Fullerton,31,18,72,44
0,"Friday, November 17, 2023", South Carolina, DePaul,41,32,73,68
0,"Friday, November 17, 2023", UMBC, Sacred Heart,44,35,85,80
0,"Friday, November 17, 2023", Fordham, Norfolk St.,43,33,77,64
0,"Friday, November 17, 2023", Northern Illinois, Georgia St.,34,35,70,64
0,"Friday, November 17, 2023", South Alabama, Denver,33,30,82,75
0,"Friday, November 17, 2023", Quinnipiac, Army,25,36,67,58
0,"Friday, November 17, 2023", Lindenwood, Nebraska Omaha,34,39,72,70
0,"Friday, November 17, 2023", Kent St., Hampton,55,36,100,62
0,"Friday, November 17, 2023", Duke, Bucknell,44,29,90,60
0,"Friday, November 17, 2023", Missouri St., Florida Gulf Coast,29,42,70,61
0,"Friday, November 17, 2023", Kansas St., Providence,26,29,73,70
0,"Friday, November 17, 2023", Yale, Colgate,36,20,68,50
0,"Friday, November 17, 2023", Youngstown St., Utah Tech,34,26,75,68
0,"Friday, November 17, 2023", Drexel, Fairfield,39,20,65,47
